"HONG KONG, HONG KONG",,"NORFOLK, VA",,35 ,Y/Y,APLU,7/15/2018,7/31/2018,2245,2682,2682,3390,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"SAVANNAH, GA",,37 ,Y/Y,APLU,7/15/2018,7/31/2018,2245,2682,2682,3390,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"HOUSTON, TX",,29 ,Y/Y,APLU,7/15/2018,7/31/2018,2287,2732,2732,3454,,FAK (Straight load only),
"SHEKOU, CHINA",,"HOUSTON, TX",,30 ,Y/Y,APLU,7/15/2018,7/31/2018,2287,2732,2732,3454,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"MOBILE, AL",,33 ,Y/Y,APLU,7/15/2018,7/31/2018,2287,2732,2732,3454,,FAK (Straight load only),
"SHEKOU, CHINA",,"MOBILE, AL",,32 ,Y/Y,APLU,7/15/2018,7/31/2018,2287,2732,2732,3454,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"MIAMI, FL",,38 ,Y/Y,APLU,7/15/2018,7/31/2018,2289,2734,2734,3456,,FAK (Straight load only),
"SHEKOU, CHINA",,"MIAMI, FL",,37 ,Y/Y,APLU,7/15/2018,7/31/2018,2289,2734,2734,3456,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"JACKSONVILLE, FL",,40 ,Y/Y,APLU,7/15/2018,7/31/2018,2287,2732,2732,3454,,FAK (Straight load only),
"SHEKOU, CHINA",,"JACKSONVILLE, FL",,39 ,Y/Y,APLU,7/15/2018,7/31/2018,2287,2732,2732,3454,,FAK (Straight load only),
"NANSHA, CHINA",,"ATLANTA, GA","SAN PEDRO, CA",17 ,Y/R,APLU,7/15/2018,7/31/2018,3637,4322,4322,5469,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"ATLANTA, GA","SAN PEDRO, CA",16 ,Y/R,APLU,7/15/2018,7/31/2018,3637,4322,4322,5469,,FAK (Straight load only),
"YANTIAN, CHINA",,"ATLANTA, GA","SAN PEDRO, CA",15 ,Y/R,APLU,7/15/2018,7/31/2018,3637,4322,4322,5469,,FAK (Straight load only),
"NANSHA, CHINA",,"CHICAGO, IL","SAN PEDRO, CA",17 ,Y/R,APLU,7/15/2018,7/31/2018,3297,3922,3922,4963,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"CHICAGO, IL","SAN PEDRO, CA",16 ,Y/R,APLU,7/15/2018,7/31/2018,3297,3922,3922,4963,,FAK (Straight load only),
"YANTIAN, CHINA",,"CHICAGO, IL","SAN PEDRO, CA",15 ,Y/R,APLU,7/15/2018,7/31/2018,3297,3922,3922,4963,,FAK (Straight load only),
"YANTIAN, CHINA",,"CHICAGO, IL","SEATTLE, WA",16 ,Y/R,APLU,7/15/2018,7/31/2018,3297,3922,3922,4963,,FAK (Straight load only),
"YANTIAN, CHINA",,"CHICAGO, IL","VANCOUVER, CANADA",19 ,Y/R,APLU,7/15/2018,7/31/2018,3307,3932,3932,4973,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"CHICAGO, IL","VANCOUVER, CANADA",20 ,Y/R,APLU,7/15/2018,7/31/2018,3307,3932,3932,4973,,FAK (Straight load only),
"YANTIAN, CHINA",,"CHICAGO, IL","VANCOUVER, CANADA",19 ,Y/R,APLU,7/15/2018,7/31/2018,3307,3932,3932,4973,,FAK (Straight load only),
"NANSHA, CHINA",,"CINCINNATI, OH","SAN PEDRO, CA",17 ,Y/R,APLU,7/15/2018,7/31/2018,3637,4322,4322,5469,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"CINCINNATI, OH","SAN PEDRO, CA",16 ,Y/R,APLU,7/15/2018,7/31/2018,3637,4322,4322,5469,,FAK (Straight load only),
"YANTIAN, CHINA",,"CINCINNATI, OH","SAN PEDRO, CA",15 ,Y/R,APLU,7/15/2018,7/31/2018,3637,4322,4322,5469,,FAK (Straight load only),
"YANTIAN, CHINA",,"CINCINNATI, OH","SEATTLE, WA",16 ,Y/R,APLU,7/15/2018,7/31/2018,3637,4322,4322,5469,,FAK (Straight load only),
"NANSHA, CHINA",,"CLEVELAND, OH","SAN PEDRO, CA",17 ,Y/R,APLU,7/15/2018,7/31/2018,3637,4322,4322,5469,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"CLEVELAND, OH","SAN PEDRO, CA",16 ,Y/R,APLU,7/15/2018,7/31/2018,3637,4322,4322,5469,,FAK (Straight load only),
"YANTIAN, CHINA",,"CLEVELAND, OH","SAN PEDRO, CA",15 ,Y/R,APLU,7/15/2018,7/31/2018,3637,4322,4322,5469,,FAK (Straight load only),
"YANTIAN, CHINA",,"CLEVELAND, OH","SEATTLE, WA",16 ,Y/R,APLU,7/15/2018,7/31/2018,3637,4322,4322,5469,,FAK (Straight load only),
"NANSHA, CHINA",,"COLUMBUS, OH","SAN PEDRO, CA",17 ,Y/R,APLU,7/15/2018,7/31/2018,3637,4322,4322,5469,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"COLUMBUS, OH","SAN PEDRO, CA",16 ,Y/R,APLU,7/15/2018,7/31/2018,3637,4322,4322,5469,,FAK (Straight load only),
"YANTIAN, CHINA",,"COLUMBUS, OH","SAN PEDRO, CA",15 ,Y/R,APLU,7/15/2018,7/31/2018,3637,4322,4322,5469,,FAK (Straight load only),
"YANTIAN, CHINA",,"COLUMBUS, OH","SEATTLE, WA",16 ,Y/R,APLU,7/15/2018,7/31/2018,3637,4322,4322,5469,,FAK (Straight load only),
"NANSHA, CHINA",,"DALLAS, TX","SAN PEDRO, CA",17 ,Y/R,APLU,7/15/2018,7/31/2018,3382,4022,4022,5089,,FAK (Straight load only),
